entity,start_char,end_char,label
one,403,406,CARDINAL
1) year,408,415,DATE
ONE,639,642,CARDINAL
1) year period,644,658,DATE
one month,721,730,DATE
two,823,826,CARDINAL
monthly,936,943,DATE
'3,500.00',1009,1017,CARDINAL
Philippines,1018,1029,GPE
monthly,1086,1093,DATE
Seven Thousand Pesos,1288,1308,MONEY
one month,1354,1363,DATE
one month,1376,1385,DATE
first,1633,1638,ORDINAL
1 day,2615,2620,DATE
2 days,2680,2686,DATE
four,4670,4674,CARDINAL
4,4676,4677,CARDINAL
one,4693,4696,CARDINAL
more than 12 hours,5777,5795,TIME
at least 14 days,5991,6007,DATE
one,6047,6050,CARDINAL
more than 2 months,6094,6112,DATE
one,6154,6157,CARDINAL
the final day,6314,6327,DATE
an additional seven,6605,6624,CARDINAL
7) percent,6626,6636,PERCENT
Rental Agreement,6705,6721,ORG
'September 17, 2014

October 17, 2014

November 17, 2014

December 17, 2014',6751,6825,DATE
Tenant,6890,6896,ORG
the Managing Agent/Landlord,6902,6929,ORG
the Managing Agent/Landlord,7109,7136,ORG
the Managing Agent/Landlord,7616,7643,ORG
AGREEMNT,7798,7806,ORG
MICHAEL DELA CRUZ,7846,7863,PERSON
NBI / Police Clearance,7927,7949,ORG
