entity,start_index,end_index,label,score
Hyderabad,29,37,LOC,0.9992377161979675
SHANKAR M,46,54,ORG,0.6871234774589539
Rangaiah,57,64,PER,0.8644487857818604
SHL,70,72,LOC,0.6411277055740356
ENCVE J12DIJNETLA,75,91,ORG,0.6045969128608704
Ranga Reddy DistrictLD,89,110,LOC,0.9959847331047058
MADID BHARGAVA R,109,124,ORG,0.4486011862754822
MADI,130,133,LOC,0.5179112553596497
SUBBA R,137,143,ORG,0.560188353061676
SHL,155,157,LOC,0.5473846793174744
ENCVE,159,163,ORG,0.732976496219635
JEEDIMETLA Ranga Reddy Districtime RANGA,164,203,LOC,0.7431517839431763
