entity,start_index,end_index,label,score
Bangalore,19,27,LOC,0.9987860321998596
S Sakunthala,32,43,PER,0.9570302963256836
Hno,39,41,LOC,0.9580381512641907
REDNAM ALCAZAR,51,64,LOC,0.9928620457649231
Op,60,61,LOC,0.9578688144683838
SBI Main,63,70,LOC,0.9926071166992188
Old Jail Road Jn,67,82,LOC,0.9891942739486694
Vishakapatnam,74,86,LOC,0.9982694387435913
V V . Ravi Kian,129,143,PER,0.9712026715278625
V R G . Sastry,140,153,PER,0.9608857035636902
A S . Rao Nagar,150,164,LOC,0.9920451641082764
Hyderabad,157,165,LOC,0.9990859627723694
Andhra Pradesh,158,171,LOC,0.9992721676826477
T C . Palya Main Road,239,259,LOC,0.9840283393859863
Ram murthy nagar,248,263,LOC,0.9842206835746765
Bangalore,255,263,LOC,0.9983217120170593
