entity,start_index,end_index,label,score
SRI,29,31,LOC,0.7576625943183899
NJ KUM,32,37,LOC,0.6095536947250366
Thavarekere,63,73,LOC,0.9853209853172302
Banlore,70,76,LOC,0.9970677495002747
DGA,104,106,PER,0.5010023713111877
SHANKAR GUPTA,107,119,LOC,0.476041316986084
TVS,117,119,ORG,0.8603257536888123
HARITA,137,142,LOC,0.9963244199752808
HOSUR,142,146,LOC,0.9958298802375793
vhanda TIL NADU,154,168,LOC,0.5915207862854004
INDIA,166,170,LOC,0.997771143913269
Auraiya uttar Pradesh Pi,170,193,LOC,0.9887527823448181
R,278,278,MISC,0.9576384425163269
