entity,start_index,end_index,label,score
SHIVANAND,146,154,LOC,0.9954472184181213
VINAYAKA LAYUT,164,177,LOC,0.9846921563148499
CHINNAPANNAHALLI,174,189,LOC,0.9934084415435791
MARATHAHALLI,184,195,LOC,0.9902719855308533
BANGALORE,192,200,LOC,0.9937778115272522
VIVEK CHANDRA MALLIK,212,231,LOC,0.9586465358734131
VINAYAKA LAUT,241,253,LOC,0.9806608557701111
CHINNAPANNAHLLI,251,265,LOC,0.9935625195503235
MARATHAHALLI,261,272,LOC,0.9768742918968201
BANGALORE,269,277,LOC,0.9919914603233337
VINAYAKA,316,323,LOC,0.9761748909950256
LAUT,322,325,LOC,0.9489662647247314
CHINNAPANNAHLLI,327,341,LOC,0.99207603931427
MARATHAHALLI,337,348,LOC,0.980353057384491
BANGALORE,345,353,LOC,0.990960419178009
