entity,start_index,end_index,label,score
B Boobalan,35,44,PER,0.9911677241325378
Nethaji Street,52,65,LOC,0.9941083788871765
Okkiyam Pettai,57,70,LOC,0.998155951499939
PTC Quarters,63,74,LOC,0.9734212756156921
Chennai,68,74,LOC,0.9994425177574158
CHEBOLU,94,100,PER,0.9865829944610596
VSR,99,101,LOC,0.321114182472229
DIKSHITULU,101,110,PER,0.491222620010376
Nethaji Street,123,136,LOC,0.9936923980712891
Okkiyam Pettai,128,141,LOC,0.9976978302001953
PTC Quarters,134,145,LOC,0.966610848903656
Chennai,139,145,LOC,0.9994470477104187
R,205,205,MISC,0.9491682648658752
R,243,243,MISC,0.9705368876457214
English,315,321,MISC,0.9213173389434814
