entity,start_index,end_index,label,score
Bangalore,20,28,LOC,0.998358428478241
T RADHA,36,42,PER,0.712018609046936
KRISHNAN,41,48,LOC,0.5456668138504028
Hemalaya,56,63,LOC,0.9911656975746155
Golf,61,64,LOC,0.7809329628944397
Murugeshpalya,64,76,LOC,0.9959070682525635
Bangalore,70,78,LOC,0.9988963603973389
AIlJIT,92,97,PER,0.8370457887649536
BHARADWAJ,97,105,LOC,0.4966420829296112
R S Sth,108,114,LOC,0.3439365327358246
Shri ram skari Apt,119,136,LOC,0.8222426176071167
Banashankari,127,138,LOC,0.9943681359291077
Kathiguppe,134,143,LOC,0.9956659078598022
Bangalore,139,147,LOC,0.9985849261283875
'i2 Technologies India Pvt , Ltd',162,192,ORG,0.9979159832000732
Dia sree Technopolis,177,196,LOC,0.976834774017334
Yamalur,186,192,LOC,0.9936449527740479
airport Road,192,203,LOC,0.6111535429954529
Bangalore,195,203,LOC,0.9975550770759583
R,270,270,MISC,0.661456823348999
R,310,310,MISC,0.8055007457733154
English,391,397,MISC,0.515692949295044
