entity,start_index,end_index,label,score
Bangalore,25,33,LOC,0.9969257116317749
PADMAVATI,39,47,PER,0.5600853562355042
9th Cross,52,60,LOC,0.6320040822029114
Byrasandra Main Road,55,74,LOC,0.9798246026039124
G M Palya,61,69,LOC,0.9847431182861328
Bangalore,66,74,LOC,0.9981065988540649
SANGHAMITRA PARIDA,88,105,ORG,0.8622940182685852
Sasken CommunicationTechnologies Ltd,101,136,ORG,0.9987879991531372
Ring Road,115,123,LOC,0.9691061973571777
Domlur,118,123,LOC,0.9922850131988525
Bangalore,121,129,LOC,0.9968481063842773
9th Cross,166,174,LOC,0.6672936677932739
Byrasandra Main Road,169,188,LOC,0.980131208896637
G M Palya,175,183,LOC,0.9857529997825623
Bangalore,180,188,LOC,0.9978196620941162
