entity,start_index,end_index,label,score
Chennai,29,35,LOC,0.9990948438644409
AR . SBBIAH,42,52,PER,0.9945002198219299
Arumugam,59,66,PER,0.9942177534103394
Anandaraja Nagar,70,85,LOC,0.9957939982414246
S . Kodikulam,75,87,LOC,0.9925829768180847
K . Pudur Post,82,95,LOC,0.9889558553695679
Madurai,89,95,LOC,0.9990995526313782
P . SS,115,120,PER,0.9983121752738953
E P . Palaniappan,132,148,PER,0.9972285032272339
Finance Unipres India Pvt . Ltd .,143,175,ORG,0.9987673163414001
Ordam,155,159,LOC,0.9974882006645203
Chennai,159,165,LOC,0.9992492198944092
H,252,252,PER,0.8165372610092163
Jain,280,283,MISC,0.8859524726867676
Sudhars ”,282,290,LOC,0.9689112901687622
Rajakilpakkam,288,300,LOC,0.9954465627670288
ChennaiIS,295,303,LOC,0.9985860586166382
