entity,start_index,end_index,label,score
Namashivayam,25,36,LOC,0.7608156204223633
P No,30,33,LOC,0.7963853478431702
Door No 16 New Old,36,53,LOC,0.49904677271842957
24th East Street,44,59,LOC,0.7133719325065613
Kaj Nagar,48,56,LOC,0.9811823964118958
Thiruvanmiyur,53,65,LOC,0.998048722743988
Chennai,61,67,LOC,0.9985540509223938
Thenmalar,77,85,PER,0.9827728867530823
Xavier,84,89,ORG,0.5656570196151733
Kottaikadu,86,95,LOC,0.9982229471206665
PO,91,92,LOC,0.7612363696098328
Vadakadu,95,102,LOC,0.996130645275116
Via,100,102,LOC,0.9845563173294067
Pudukkottai,103,113,LOC,0.997937798500061
Dt,109,110,LOC,0.8739955425262451
P No,173,176,LOC,0.6983116865158081
Door No 16 New Old,179,196,LOC,0.48675772547721863
24th East Street,187,202,LOC,0.7125133872032166
Kamaraj Nagar,191,203,LOC,0.9748674035072327
Thiruvanmiyur,196,208,LOC,0.9976431727409363
R,296,296,MISC,0.555288553237915
