entity,start_index,end_index,label,score
Hyderabad,33,41,LOC,0.9974706172943115
C BHAGYAMMA,41,51,PER,0.9743807315826416
C,53,53,PER,0.7396641969680786
GORDHAN,55,61,PER,0.5826540589332581
Manra Nagar,88,98,LOC,0.9964480996131897
Sangareddy Mandal,93,109,LOC,0.9966719746589661
Medak District,99,112,LOC,0.9979195594787598
AP,103,104,LOC,0.9982683658599854
JP IN,190,194,LOC,0.8666639924049377
M,196,196,LOC,0.4952380359172821
SRI JAY,200,206,LOC,0.6496116518974304
M,219,219,ORG,0.5163392424583435
SRI JAYS,223,230,LOC,0.27978914976119995
P Ltd,241,245,ORG,0.40520012378692627
B JAYA PRKAH,255,266,ORG,0.9764026999473572
JAGANNADHA,272,281,LOC,0.49939650297164917
RAOIG,278,282,ORG,0.2968778908252716
Ramachandrapuram,301,316,LOC,0.9908550977706909
Medak District,306,319,LOC,0.9975788593292236
AP,310,311,LOC,0.9978027939796448
BR,503,504,ORG,0.770170271396637
