entity,start_index,end_index,label,score
##TATA,15,20,MISC,0.4935151934623718
City of,74,80,LOC,0.9959169030189514
Olongapo City,76,88,LOC,0.9987422823905945
Philippines,82,92,LOC,0.9996227622032166
M ALICTE,100,107,PER,0.9387854933738708
Filipino,114,121,MISC,0.9951596260070801
Jonson St,128,136,LOC,0.6370125412940979
East,133,136,LOC,0.9724590182304382
Bajac -,134,140,LOC,0.9899938702583313
Bajac,137,141,LOC,0.9923735857009888
Olongapo City,140,152,LOC,0.9989514350891113
JN B BA,161,167,PER,0.955265462398529
E,171,171,PER,0.75814288854599
BA,177,178,PER,0.46845561265945435
JR 2 7,181,186,LOC,0.921208381652832
Magdalena Homes,207,221,LOC,0.9397727251052856
Sto . Tomas,210,220,LOC,0.9950355887413025
Subic,215,219,LOC,0.9977157115936279
Zambales,218,225,LOC,0.9982846975326538
LA,250,251,ORG,0.7798174023628235
2 7,285,287,LOC,0.5408384203910828
Magdalena Homes,290,304,LOC,0.936710000038147
Sto . Tomas,293,303,LOC,0.9953874945640564
Suibc,298,302,LOC,0.9961546063423157
Zambales,302,309,LOC,0.9980688095092773
LA,314,315,ORG,0.7384101748466492
LA,364,365,ORG,0.7632748484611511
