entity,start_index,end_index,label,score
PAWARI,65,70,LOC,0.556862473487854
JOSHI,74,78,PER,0.5616506338119507
Sri,95,97,PER,0.8525891900062561
Chothmal Joshi,96,109,PER,0.9584015011787415
Hindu,102,106,MISC,0.9965553879737854
Joshi Kunj,118,127,LOC,0.9791021943092346
Akashwani,125,133,LOC,0.9785177707672119
Se,132,133,LOC,0.45958274602890015
Siliguri,136,143,LOC,0.9939678311347961
West Bengal,141,151,LOC,0.9987806677818298
Indian Companies Act 1956,235,259,MISC,0.9972133040428162
Ashiana,254,260,LOC,0.9857953786849976
Exhibition Road,258,272,LOC,0.9820619821548462
Patna,260,264,LOC,0.9989945292472839
Bihar,265,269,LOC,0.9989722967147827
YASODA,337,342,ORG,0.4452793300151825
Phulman Sunwar,348,361,PER,0.9966282844543457
Hindu,354,358,MISC,0.9973376989364624
Indian,358,363,MISC,0.9984025359153748
Tubari,368,373,LOC,0.9960110783576965
Junglee Mohal,372,384,LOC,0.9835725426673889
Salugara P,381,390,LOC,0.9917948246002197
S,389,389,LOC,0.3772767186164856
Bhaktinagar,391,401,LOC,0.8973049521446228
Jpauri,396,401,LOC,0.5228445529937744
State,403,407,LOC,0.49873989820480347
West,405,408,LOC,0.9187681078910828
BengalH,406,412,LOC,0.9900755286216736
L,415,415,LOC,0.7617790102958679
S,435,435,LOC,0.4169105589389801
JHI,452,454,LOC,0.5966730713844299
KJ Road,456,462,LOC,0.840566873550415
Akasvani,473,480,LOC,0.8842343688011169
Bhaw P S,477,484,LOC,0.8768086433410645
Bhaktinagar P,485,497,LOC,0.8884423971176147
Eias,493,496,LOC,0.6602206826210022
Siliguri,500,507,LOC,0.9760085940361023
J,507,507,LOC,0.6486790776252747
