entity,start_index,end_index,label,score
Chennai,25,31,LOC,0.9954513311386108
P . JohnsonRavikumar,39,58,PER,0.9970981478691101
Jeevanantham Street,65,83,LOC,0.9510086178779602
Lakshmipuram Tiruvanmiyur,71,95,LOC,0.9962652921676636
Chennai,81,87,LOC,0.9992725253105164
Saravanan,118,126,PER,0.9973247051239014
Jeevanantham Street,142,160,LOC,0.9310464859008789
Lakshmipuram Tiruvanmiyur,148,172,LOC,0.9957727193832397
Chennai,158,164,LOC,0.9992564916610718
Jeevanantham Street,264,282,LOC,0.9447969794273376
Lakshmipuram Tiruvanmiyur,270,294,LOC,0.9960511326789856
Chennai,280,286,LOC,0.9990940690040588
R,375,375,MISC,0.941303014755249
