entity,start_index,end_index,label,score
Chennai,36,42,LOC,0.9989874958992004
Kamal,45,49,PER,0.998218834400177
Appar Sundar,54,65,PER,0.9952366948127747
Pursawalkam,61,71,LOC,0.9962453842163086
Kosapt,67,72,LOC,0.9972708821296692
Chennai,70,76,LOC,0.9963984489440918
L,80,80,ORG,0.7133009433746338
Appar,137,141,PER,0.9982529878616333
Pursawalkam,147,157,LOC,0.9965609908103943
Chennai,154,160,LOC,0.9991899132728577
V . Arun Kumar,179,192,PER,0.9284456372261047
Veda Chalam,190,200,PER,0.9968924522399902
L,201,201,ORG,0.7851935625076294
L,247,247,ORG,0.7809683084487915
Kanda Swamy Koil street,275,297,LOC,0.9820919036865234
Kosapet,283,289,LOC,0.9897370338439941
Pursawalkam,287,297,LOC,0.9956005215644836
Chennai,292,298,LOC,0.9777054786682129
LES,318,320,ORG,0.7946079969406128
LES,325,327,ORG,0.7071871161460876
LES,365,367,ORG,0.6977496147155762
English,497,503,MISC,0.65251225233078
