entity,start_index,end_index,label,score
Bangalore,17,25,LOC,0.9992042183876038
MR K Ku,25,31,PER,0.9768751859664917
Ke,35,36,PER,0.9535377621650696
Aehari,37,42,LOC,0.8221920728683472
Geethalayam,48,58,LOC,0.9778098464012146
S M . Road,57,66,LOC,0.8835572004318237
T . Dasarahalli,65,79,LOC,0.9900311231613159
Bangalore,72,80,LOC,0.9990366697311401
Sri,104,106,PER,0.7630364894866943
P M Narayana Namboodr,106,126,PER,0.9985496401786804
Laxmi Leela,117,127,LOC,0.827742874622345
Ayyappa Nagar,127,139,LOC,0.9039716720581055
Ayyappa Temple,132,145,LOC,0.8105451464653015
Jalahalli West,137,150,LOC,0.9971931576728821
Bangalore,143,151,LOC,0.9989653825759888
S . M . Road,188,199,LOC,0.9788211584091187
Jalahalli West,194,207,LOC,0.9959579110145569
Bangalore,200,208,LOC,0.9988263845443726
A,217,217,ORG,0.5549284219741821
C She,219,223,LOC,0.7488281726837158
MA,269,270,LOC,0.4589715003967285
