entity,start_index,end_index,label,score
INDIA NO JUCIAL Government of KarnatakaUM,1,41,ORG,0.9632766842842102
KAKAKSCU,73,80,ORG,0.48457229137420654
NAGAVEN,95,101,LOC,0.44675561785697937
NARAYAN,104,110,ORG,0.7610047459602356
NARAYAN,133,139,ORG,0.8407251834869385
NARAYAN,149,155,ORG,0.6885050535202026
NAGAV,157,161,LOC,0.5121210217475891
NARAYAN Nagaven,166,180,ORG,0.8362194895744324
Vanasumalay Tumkur,227,244,LOC,0.9880501627922058
Cross,243,247,ORG,0.5500574111938477
Mad,249,251,PER,0.9280775785446167
Sspur Tu,259,266,LOC,0.4222223460674286
TAN,310,312,ORG,0.5292038917541504
English,386,392,MISC,0.9572983980178833
