entity,start_index,end_index,label,score
Bangalore,19,27,LOC,0.9988933801651001
S Sakunthala,32,43,PER,0.9985681772232056
H,39,39,LOC,0.9849275350570679
REDNA ALCAZAR,51,63,LOC,0.9677917957305908
Op,60,61,LOC,0.9664888381958008
SBI Main,63,70,LOC,0.8645692467689514
Old Jail Road Jn,67,82,LOC,0.9644107222557068
Vishakapatnam,74,86,LOC,0.9970681667327881
V V Ravi Ki,129,139,PER,0.996749222278595
V,140,140,PER,0.5173415541648865
R G Sastry,142,151,ORG,0.3465445935726166
A,150,150,PER,0.5554618239402771
S .,152,154,LOC,0.8177379369735718
Rao,154,156,PER,0.5321658253669739
Nagar,155,159,LOC,0.9757534861564636
Hyderabad Andhra Pradesh,157,180,LOC,0.9986201524734497
O,200,200,LOC,0.4217202365398407
Less,220,223,ORG,0.7966110110282898
Floor,229,233,LOC,0.38663169741630554
T C Pa Main Road,239,254,LOC,0.9779412150382996
Ram m na,248,255,LOC,0.9766656756401062
Bangalore,255,263,LOC,0.994259774684906
Less,285,288,ORG,0.49491485953330994
Lea,317,319,ORG,0.5364927649497986
