entity,start_index,end_index,label,score
Procall Private Limited,20,42,ORG,0.9989847540855408
Procall Private Limited,30,52,ORG,0.9974340200424194
Triveni,43,49,LOC,0.9126941561698914
Commercial,46,55,ORG,0.5022997260093689
Complex,47,53,LOC,0.8174923062324524
Shih Sarai,49,58,LOC,0.9454972147941589
New Delhi,58,66,LOC,0.9921879172325134
Procall,70,76,ORG,0.9598261117935181
Telelogic India Pvt . Ltd,114,138,ORG,0.9931662678718567
Salarpuria,126,135,LOC,0.9640122056007385
Bangalore,139,147,LOC,0.9980148077011108
Procall,189,195,ORG,0.9974176287651062
Ren Trunking Radio Services,193,219,ORG,0.984519362449646
Procall Pvt . Ltd,265,281,ORG,0.9982983469963074
Procall Pvt . Ltd,282,298,ORG,0.9979650378227234
Procall Pvt . Ltd,321,337,ORG,0.998702347278595
Procall,346,352,ORG,0.9982941150665283
Procall,374,380,ORG,0.9972759485244751
