entity,start_index,end_index,label,score
M SA,54,57,PER,0.9924412369728088
M DATTATREYA,64,75,ORG,0.9316426515579224
Flat FI,85,91,LOC,0.861530065536499
Golden pearl,89,100,LOC,0.9285820126533508
No 3,92,95,LOC,0.5159731507301331
V O . C . Street,96,111,LOC,0.9874705076217651
SAN Academy,105,115,LOC,0.9589645862579346
School,108,113,ORG,0.44418463110923767
Padmavathy Nagar,110,125,LOC,0.9868603348731995
Velachery,115,123,LOC,0.996084451675415
Chennai,120,126,LOC,0.9986958503723145
Je,172,173,PER,0.8649688363075256
S,177,177,LOC,0.5659906268119812
Balasundaram C,181,194,LOC,0.7734835743904114
Cognizant Technology Solutions,196,225,ORG,0.9900097250938416
Chennai,203,209,LOC,0.9968135952949524
Lakeview 3rd Street,216,234,LOC,0.9729748964309692
Iyyappa Nagar,221,233,LOC,0.9627314805984497
Madipakka Chennai,226,242,LOC,0.9966365694999695
Floor,303,307,ORG,0.6854844093322754
GO,329,330,LOC,0.7081635594367981
V O C STREET,340,351,LOC,0.9258701205253601
PADMAVATHI NAG E,350,365,LOC,0.993323802947998
VACH,364,367,LOC,0.9818993210792542
CHENNA,371,376,LOC,0.9753868579864502
