entity,start_index,end_index,label,score
Agreement,11,19,MISC,0.8902974724769592
Hyderabad,29,37,LOC,0.9990293979644775
Raiah,57,61,LOC,0.6140033602714539
JNETL,80,84,LOC,0.6087449193000793
Ranga Reddy District,89,108,LOC,0.9259635210037231
MA,109,110,PER,0.5161002278327942
B,116,116,PER,0.48921462893486023
S,126,126,ORG,0.47814953327178955
MA,130,131,PER,0.6346223950386047
SBB,137,139,LOC,0.39436885714530945
JMETL,164,168,LOC,0.840876579284668
Ranga Reddy,171,181,LOC,0.9719803929328918
RA,226,227,LOC,0.9605777263641357
House,259,263,LOC,0.3601759374141693
Agreement,358,366,MISC,0.8569703698158264
