entity,start_index,end_index,label,score
Bangalore,25,33,LOC,0.9982188940048218
PADMAVAT,39,46,LOC,0.9818173050880432
9th Cross,52,60,LOC,0.9134294390678406
Byrasandra Main Road,55,74,LOC,0.9738883376121521
G M Palya,61,69,LOC,0.46708738803863525
Bangalore,66,74,LOC,0.998714804649353
O,78,78,ORG,0.332166463136673
SANGHAMITR,88,97,LOC,0.8369914889335632
PARIDA,94,99,PER,0.8461744785308838
Sasken CommunicationTechnologies Ltd,101,136,ORG,0.9982182383537292
Ring Road,115,123,LOC,0.9576224684715271
Domlu Bangalore,118,132,LOC,0.9565375447273254
9th Cross,166,174,LOC,0.8817827105522156
Byrasandra Main Road,169,188,LOC,0.9794419407844543
G M Palya,175,183,LOC,0.723399817943573
Bangalore,180,188,LOC,0.9977025985717773
Ten,346,348,ORG,0.8680503368377686
English,400,406,MISC,0.9942915439605713
