entity,start_index,end_index,label,score
Chennai,36,42,LOC,0.9988171458244324
Kamal,45,49,PER,0.8722163438796997
Appar Sun,54,62,PER,0.998645544052124
Pursawalkam,61,71,LOC,0.9890286326408386
Ko,67,68,LOC,0.9629581570625305
Chennai,70,76,LOC,0.9752556681632996
P,125,125,ORG,0.9588861465454102
Appar,137,141,PER,0.9990527629852295
Pursawalkam,147,157,LOC,0.989191472530365
Chennai,154,160,LOC,0.9986600875854492
V,179,179,PER,0.9981590509414673
Arun Kumar,181,190,PER,0.9775620698928833
Veda,190,193,LOC,0.47932198643684387
Chalam,192,197,PER,0.41620001196861267
O,235,235,PER,0.3052409887313843
L,247,247,ORG,0.6488534808158875
Kanda Swamy Ko,275,288,LOC,0.9167678952217102
Kosapet,283,289,LOC,0.9936385154724121
Pursawalkam Chennai,287,305,LOC,0.9932065010070801
L,325,325,ORG,0.8762814402580261
L,365,365,ORG,0.9063881635665894
English,497,503,MISC,0.9311218857765198
