entity,start_index,end_index,label,score
Hyderabad C,33,43,LOC,0.999173104763031
BHAGYAM,43,49,ORG,0.4936780035495758
C GOVARD,53,60,ORG,0.35886380076408386
House,73,77,ORG,0.3788604438304901
Manjeera Nagar,88,101,LOC,0.9868024587631226
Sangareddy Mandal,93,109,LOC,0.9905721545219421
Medak District,99,112,LOC,0.9942754507064819
AP,103,104,LOC,0.7893842458724976
H,105,105,PER,0.7592170238494873
M SR JA SR J Pt . Ltd,196,216,ORG,0.7606654763221741
B JAYAAKA JAGAN,255,269,ORG,0.9701657891273499
Ramachandrapuram,301,316,LOC,0.9913135766983032
Medak District,306,319,LOC,0.9940653443336487
AP,310,311,ORG,0.7023684978485107
