entity,start_index,end_index,label,score
Chennai,25,31,LOC,0.9986477494239807
P JohnsonRavikumar,39,56,PER,0.9995689988136292
P No,53,56,LOC,0.4638792872428894
Door No,60,66,LOC,0.7195027470588684
Jeevanantham Street,65,83,LOC,0.9887385964393616
Lakshmipuram Tiruvanmiyur,71,95,LOC,0.9878323674201965
Chennai,81,87,LOC,0.9992954730987549
Sara,118,121,PER,0.9943104386329651
P,130,130,LOC,0.6027579307556152
Jeevanantham Street,142,160,LOC,0.9884093999862671
Lakshmipuram Tiruvanmiyur,148,172,LOC,0.9929127097129822
Chennai,158,164,LOC,0.99896240234375
Jeevanantham Street,264,282,LOC,0.9922134876251221
Lakshmipuram Tirvanmiyur,270,293,LOC,0.989880383014679
Chennai,280,286,LOC,0.998917281627655
English,389,395,MISC,0.9354797601699829
