entity,start_index,end_index,label,score
KARNATAKA,7,15,ORG,0.855168342590332
Bangalore,122,130,LOC,0.9968197345733643
G,138,138,PER,0.9852752089500427
Nagappa,147,153,ORG,0.899795413017273
Shu,156,158,PER,0.6245356798171997
Rmurthynagar Bangalore,162,183,ORG,0.6588242650032043
Pourt U,189,195,PER,0.9922212362289429
Ramak Kajjam,202,213,LOC,0.6273293495178223
Main Bazar,218,227,LOC,0.734690248966217
Miryalaguda,222,232,LOC,0.9727447032928467
Nalgonda Di,229,239,LOC,0.8723777532577515
Eleccity,360,367,ORG,0.9587533473968506
Agreement,373,381,MISC,0.5338031053543091
