entity,start_index,end_index,label,score
Chennai,29,35,LOC,0.998729407787323
AR S,42,45,PER,0.977270781993866
Arumm,59,63,PER,0.9973039627075195
Anandaraja Nagar,70,85,LOC,0.9420815706253052
S Kodikulam,75,85,LOC,0.9748439788818359
K . Pudur Post,82,95,ORG,0.9930347204208374
Madurai,89,95,LOC,0.9889863133430481
P,115,115,PER,0.9764456748962402
E,132,132,PER,0.9989472031593323
. P Palaniappan,133,147,PER,0.8696419596672058
Finance Unipres India Pvt . Ltd,143,173,ORG,0.9841053485870361
Oragadam,155,162,LOC,0.9971253275871277
Chennai,159,165,LOC,0.9992010593414307
the,246,248,ORG,0.5440155267715454
Floor Sudha,268,278,LOC,0.5014533400535583
Rajakilpakkam,288,300,LOC,0.9919490814208984
Chennai,295,301,LOC,0.9982683062553406
O,308,308,ORG,0.8572153449058533
O,368,368,ORG,0.8583724498748779
