entity,start_index,end_index,label,score
B,35,35,PER,0.9839642643928528
. Boobalan,36,45,PER,0.6780914068222046
Nethaji Street,52,65,LOC,0.9921897053718567
Okkiyam Pettai,57,70,LOC,0.9398170113563538
PTC,63,65,ORG,0.6884151697158813
Quarters,65,72,LOC,0.9015070796012878
Chennai,68,74,LOC,0.9989184737205505
CH,94,95,PER,0.9442787766456604
VH,99,100,ORG,0.5591433644294739
Nethaji Street,123,136,LOC,0.994845449924469
Okkiyam Pettai,128,141,LOC,0.9810424447059631
PTC Quarters,134,145,LOC,0.7005952000617981
Chennai,139,145,LOC,0.9988014698028564
English,315,321,MISC,0.9994916319847107
