entity,start_index,end_index,label,score
City Olongapo City Philippines,74,103,LOC,0.9948811531066895
M,100,100,PER,0.49140459299087524
ALICANTE,102,109,ORG,0.7047959566116333
Filipino,114,121,MISC,0.9885563254356384
Jonson St East Bajac Bajac Olongapo City LA,128,170,LOC,0.8818930983543396
JMIN,161,164,PER,0.5496945977210999
B,165,165,ORG,0.5041687488555908
BA,167,168,PER,0.5303432941436768
JR,181,182,ORG,0.43429699540138245
Magdalena Homes Sto . Tomas Subic Zambales,207,248,LOC,0.564380407333374
LANDLD,250,255,ORG,0.9239745140075684
Magdalena Homes Sto . Tomas Suibc Zambales,290,331,LOC,0.5583428740501404
LANDL TENAN TENANTS LANDLORD TENAN TENAN,314,353,ORG,0.9342373609542847
