entity,start_index,end_index,label,score
City,74,77,LOC,0.8664557337760925
Olongapo City,76,88,LOC,0.998086154460907
Philippines,82,92,LOC,0.9997173547744751
Filipino,114,121,MISC,0.9955556392669678
20th Jonson St .,127,142,LOC,0.732909083366394
East Bajac,133,142,LOC,0.9793393611907959
Bajac,137,141,LOC,0.9752002358436584
Olongapo City,140,152,LOC,0.9961621761322021
LA,152,153,LOC,0.44873639941215515
J,161,161,LOC,0.34774401783943176
JR,181,182,LOC,0.5355419516563416
Magdalena,207,215,ORG,0.9168935418128967
Homes,208,212,LOC,0.4759591817855835
Sto . Tomas,210,220,LOC,0.985621988773346
Subic,215,219,LOC,0.9631063938140869
Zambales,218,225,LOC,0.9874733090400696
LANDL,250,254,ORG,0.8500317335128784
Magdalena Homes,290,304,ORG,0.9588491916656494
Sto . Tomas,293,303,LOC,0.9822816252708435
Suibc,298,302,LOC,0.9446741342544556
Zambales,302,309,LOC,0.9880368113517761
LANDL,314,318,ORG,0.7880383729934692
LA,364,365,ORG,0.8344246745109558
