entity,start_index,end_index,label,score
Bangalore,20,28,LOC,0.9986711740493774
T RAD,36,40,PER,0.9763453006744385
KRISHNA No,41,50,LOC,0.6810669302940369
Hemalaya,56,63,LOC,0.8814066648483276
Golf,61,64,LOC,0.47702696919441223
Murugeshpalya,64,76,LOC,0.9919053912162781
Bangalore,70,78,LOC,0.9987964034080505
AIRA,92,95,PER,0.8892344832420349
R S Shara,108,116,LOC,0.4656248986721039
Banashankari,127,138,LOC,0.9404675960540771
Kathiguppe,134,143,LOC,0.9846456050872803
Bangalore,139,147,LOC,0.9978088140487671
'i Technologies India Pv , Ltd',162,190,ORG,0.7465217709541321
Divya,177,181,LOC,0.491293340921402
sree Technopolis,180,195,ORG,0.8495866060256958
Yamalur,186,192,LOC,0.9866918325424194
airport Road,192,203,LOC,0.8465974926948547
Bangalore,195,203,LOC,0.9979790449142456
English,391,397,MISC,0.9514470100402832
