entity,start_index,end_index,label,score
Namashivayam,25,36,LOC,0.9764522910118103
P No 182 Old,30,41,LOC,0.6764774918556213
24th East Street,44,59,LOC,0.9696696996688843
Kamaraj Nagar,48,60,LOC,0.9885383248329163
Thiruvanmiyur,53,65,LOC,0.9950658082962036
Chennai,61,67,LOC,0.9983156323432922
Thenmalar,77,85,PER,0.9977850914001465
W O Xavier,81,90,ORG,0.9188443422317505
Kottaikadu,86,95,LOC,0.8015600442886353
P,91,91,ORG,0.6283704042434692
Vadakadu,95,102,LOC,0.9648827314376831
Via,100,102,ORG,0.8024465441703796
Pudukkottai,103,113,LOC,0.9700804352760315
P No 182,173,180,LOC,0.3858131170272827
Door No 16 New Old,179,196,LOC,0.5177010893821716
24th East Street,187,202,LOC,0.9652897715568542
Kamaraj Nagar,191,203,LOC,0.9898921251296997
Thiruvanmiyur,196,208,LOC,0.9939265847206116
