entity,start_index,end_index,label,score
##stozitration and Stamps Department,45,80,ORG,0.5415427088737488
Bangalore,128,136,LOC,0.9941370487213135
Gidpp,144,148,ORG,0.8395547270774841
RamAmurthynagar Bangalore,169,193,ORG,0.9382908940315247
Pottumurt Udayaia,196,212,PER,0.6930879354476929
Krishna,213,219,LOC,0.8171851634979248
Main Bazar,226,235,LOC,0.6880712509155273
Miryalaguda,230,240,LOC,0.9869310855865479
Nalgonda Di,236,246,LOC,0.7878310084342957
Electrcity,364,373,ORG,0.9844533205032349
